IDCIDCATEGORIA,IDCIDSUBCATEGORIA,OPC,DESCRICAO,RESTRICAO
A00,A000,,A00.0 Colera dev Vibrio cholerae 01 biot cholerae,5
A00,A001,,A00.1 Colera dev Vibrio cholerae 01 biot El Tor,5
A00,A009,,A00.9 Colera NE,5
A01,A010,,A01.0 Febre tifoide,5
A01,A011,,A01.1 Febre paratifoide A,5
A01,A012,,A01.2 Febre paratifoide B,5
A01,A013,,A01.3 Febre paratifoide C,5
A01,A014,,A01.4 Febre paratifoide NE,5
A02,A020,,A02.0 Enterite p/salmonela,5
A02,A021,,A02.1 Septicemia p/salmonela,5
A02,A022,+,A02.2 Infecc localizadas p/salmonela,5
A02,A028,,A02.8 Outr infecc espec p/salmonela,5
A02,A029,,A02.9 Infecc NE p/salmonela,5
A03,A030,,A03.0 Shiguelose dev Shigella dysenteriae,5
A03,A031,,A03.1 Shiguelose dev Shigella flexneri,5
A03,A032,,A03.2 Shiguelose dev Shigella boydii,5
A03,A033,,A03.3 Shiguelose dev Shigella sonnei,5
A03,A038,,A03.8 Outr shigueloses,5
A03,A039,,A03.9 Shiguelose NE,5
A04,A040,,A04.0 Infecc p/Escherichia coli enteropatogenica,5
A04,A041,,A04.1 Infecc p/Escherichia coli enterotoxigenica,5
A04,A042,,A04.2 Infecc p/Escherichia coli enteroinvasiva,5
A04,A043,,A04.3 Infecc p/Escherichia coli enterohemorragica,5
A04,A044,,A04.4 Outr infecc intestinais p/Escherichia coli,5
A04,A045,,A04.5 Enterite p/Campylobacter,5
A04,A046,,A04.6 Enterite dev Yersinia enterocolitica,5
A04,A047,,A04.7 Enterocolite dev Clostridium difficile,5
A04,A048,,A04.8 Outr infecc bacter intestinais espec,5
A04,A049,,A04.9 Infecc intestinal bacter NE,5
A05,A050,,A05.0 Intox alimentar estafilococica,5
A05,A051,,A05.1 Botulismo,5
A05,A052,,A05.2 Intox alimentar dev Clostridium perfringens,5
A05,A053,,A05.3 Intox alimentar dev Vibrio parahemolyticus,5
A05,A054,,A05.4 Intox alimentar dev Bacillus cereus,5
A05,A058,,A05.8 Outr intox alimentares bacter espec,5
A05,A059,,A05.9 Intox alimentar bacter NE,5
A06,A060,,A06.0 Disenteria amebiana aguda,5
A06,A061,,A06.1 Amebiase intestinal cronica,5
A06,A062,,A06.2 Colite amebiana nao-disenterica,5
A06,A063,,A06.3 Ameboma intestinal,5
A06,A064,,A06.4 Abscesso amebiano do figado,5
A06,A065,+,A06.5 Abscesso amebiano do pulmao,5
A06,A066,+,A06.6 Abscesso amebiano do cerebro,5
A06,A067,,A06.7 Amebiase cutanea,5
A06,A068,,A06.8 Infecc amebiana de outr localiz,5
A06,A069,,A06.9 Amebiase NE,5
A07,A070,,A07.0 Balantidiase,5
A07,A071,,A07.1 Giardiase,5
A07,A072,,A07.2 Criptosporidiose,5
A07,A073,,A07.3 Isosporiase,5
A07,A078,,A07.8 Outr doenc intestinais espec p/protozoarios,5
A07,A079,,A07.9 Doenc intestinal NE p/protozoarios,5
A08,A080,,A08.0 Enterite p/rotavirus,5
A08,A081,,A08.1 Gastroenteropatia aguda p/agente de Norwalk,5
A08,A082,,A08.2 Enterite p/adenovirus,5
A08,A083,,A08.3 Outr enterites virais,5
A08,A084,,A08.4 Infecc intestinal dev virus NE,5
A08,A085,,A08.5 Outr infecc intestinais espec,5
A15,A150,,A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult,5
A15,A151,,A15.1 Tuberc pulmonar c/conf somente p/cultura,5
A15,A152,,A15.2 Tuberc pulmonar c/conf histolog,5
A15,A153,,A15.3 Tuberc pulmonar c/conf p/meio NE,5
A15,A154,,A15.4 Tuberc gangl intrator c/conf bacter e histol,5
A15,A155,,A15.5 Tuberc laring traq bronq c/conf bact e hist,5
A15,A156,,A15.6 Pleuris tuberc c/conf bacteriol e histolog,5
A15,A157,,A15.7 Tuberc prim vias respir c/conf bact e histol,5
A15,A158,,A15.8 Outr form tuberc via resp c/conf bact hist,5
A15,A159,,A15.9 Tuberc NE vias respir c/conf bacter histol,5
A16,A160,,A16.0 Tuberc pulmonar c/exames bact e hist negat,5
A16,A161,,A16.1 Tuberc pulmonar s/exame bacter ou histolog,5
A16,A162,,A16.2 Tuberc pulmonar s/menc conf bact ou hist,5
A16,A163,,A16.3 Tuberc gangl intrat s/menc conf bact hist,5
A16,A164,,A16.4 Tuberc laring traq bronq s/menc bact hist,5
A16,A165,,A16.5 Pleurisia tuberc s/menc conf bact ou histol,5
A16,A167,,A16.7 Tuberc respir prim s/menc conf bact ou hist,5
A16,A168,,A16.8 Outr tuber via resp s/menc conf bact hist,5
A16,A169,,A16.9 Tuberc respirat NE s/menc conf bact ou hist,5
A17,A170,+,A17.0 Meningite tuberc,5
A17,A171,+,A17.1 Tuberculoma meningeo,5
A17,A178,+,A17.8 Outr tuberc do sist nervoso,5
A17,A179,+,A17.9 Tuberc NE do sist nervoso,5
A18,A180,+,A18.0 Tuberc ossea e das articulacoes,5
A18,A181,,A18.1 Tuberc do aparelho geniturinario,5
A18,A182,,A18.2 Linfadenopatia tuberc periferica,5
A18,A183,,A18.3 Tuberc intestino peritonio gangl mesenter,5
A18,A184,,A18.4 Tuberc de pele e tec celular subcutaneo,5
A18,A185,+,A18.5 Tuberc do olho,5
A18,A186,+,A18.6 Tuberc do ouvido,5
A18,A187,+,A18.7 Tuberc das supra-renais,5
A18,A188,+,A18.8 Tuberc de outr orgaos espec,5
A19,A190,,A19.0 Tuberc miliar aguda de localiz unica espec,5
A19,A191,,A19.1 Tuberc miliar aguda de mult localiz,5
A19,A192,,A19.2 Tuberc miliar aguda NE,5
A19,A198,,A19.8 Outr tuberc miliares,5
A19,A199,,A19.9 Tuberc miliar NE,5
A20,A200,,A20.0 Peste bubonica,5
A20,A201,,A20.1 Peste celulocutanea,5
A20,A202,,A20.2 Peste pneumonica,5
A20,A203,,A20.3 Peste meningea,5
A20,A207,,A20.7 Peste septicemica,5
A20,A208,,A20.8 Outr form de peste,5
A20,A209,,A20.9 Peste form NE,5
A21,A210,,A21.0 Tularemia ulceroglandular,5
A21,A211,,A21.1 Tularemia oculoglandular,5
A21,A212,,A21.2 Tularemia pulmonar,5
A21,A213,,A21.3 Tularemia gastrointestinal,5
A21,A217,,A21.7 Tularemia generalizada,5
A21,A218,,A21.8 Outr form de tularemia,5
A21,A219,,A21.9 Tularemia form NE,5
A22,A220,,A22.0 Carbunculo cutaneo,5
A22,A221,,A22.1 Carbunculo pulmonar,5
A22,A222,,A22.2 Carbunculo gastrointestinal,5
A22,A227,,A22.7 Septicemia carbunculosa,5
A22,A228,,A22.8 Outr form de carbunculo,5
A22,A229,,A22.9 Carbunculo form NE,5
A23,A230,,A23.0 Brucelose p/Brucella melitensis,5
A23,A231,,A23.1 Brucelose p/Brucella abortus,5
A23,A232,,A23.2 Brucelose p/Brucella suis,5
A23,A233,,A23.3 Brucelose p/Brucella canis,5
A23,A238,,A23.8 Outr bruceloses,5
A23,A239,,A23.9 Brucelose NE,5
A24,A240,,A24.0 Mormo,5
A24,A241,,A24.1 Melioidose aguda e fulminante,5
A24,A242,,A24.2 Melioidose subaguda e cronica,5
A24,A243,,A24.3 Outr melioidoses,5
A24,A244,,A24.4 Melioidose NE,5
A25,A250,,A25.0 Espirilose,5
A25,A251,,A25.1 Estreptobacilose,5
A25,A259,,A25.9 Febre transm p/mordedura de rato tipo NE,5
A26,A260,,A26.0 Erisipeloide cutaneo,5
A26,A267,,A26.7 Septicemia p/Erysipelothrix,5
A26,A268,,A26.8 Outr form de erisipeloide,5
A26,A269,,A26.9 Erisipeloide NE,5
A27,A270,,A27.0 Leptopirose icterohemorragica,5
A27,A278,,A27.8 Outr form de leptospirose,5
A27,A279,,A27.9 Leptospirose NE,5
A28,A280,,A28.0 Pasteurelose,5
A28,A281,,A28.1 Doenc p/arranhadura do gato,5
A28,A282,,A28.2 Yersiniose extra-intestinal,5
A28,A288,,A28.8 Outr doenc bacter zoonoticas espec NCOP,5
A28,A289,,A28.9 Doenc bacter zoonotica NE,5
A30,A300,,A30.0 Hanseniase indeterminada,5
A30,A301,,A30.1 Hanseniase tuberculoide,5
A30,A302,,A30.2 Hanseniase tuberculoide borderline,5
A30,A303,,A30.3 Hanseniase dimorfa,5
A30,A304,,A30.4 Hanseniase lepromatosa borderline,5
A30,A305,,A30.5 Hanseniase lepromatosa,5
A30,A308,,A30.8 Outr form de hanseniase,5
A30,A309,,A30.9 Hanseniase NE,5
A31,A310,,A31.0 Infecc pulmonar micobacteriana,5
